日付け,終値,始値,高値,安値,前日比%
2019年2月12日,1.289,1.2859,1.291,1.2832,0.32%
2019年2月11日,1.2849,1.2949,1.2957,1.2845,-0.76%
2019年2月8日,1.2947,1.2954,1.2977,1.2921,-0.05%
2019年2月7日,1.2953,1.2933,1.2997,1.2853,0.16%
2019年2月6日,1.2932,1.295,1.2981,1.2925,-0.08%
2019年2月5日,1.2942,1.3039,1.3056,1.2924,-0.71%
2019年2月4日,1.3035,1.3085,1.3104,1.3029,-0.37%
2019年2月1日,1.3083,1.3107,1.3116,1.3043,-0.13%
2019年1月31日,1.31,1.3116,1.3161,1.3097,-0.12%
2019年1月30日,1.3116,1.3066,1.3147,1.3053,0.38%
2019年1月29日,1.3066,1.3168,1.32,1.3056,-0.73%
2019年1月28日,1.3162,1.3194,1.3214,1.3137,-0.30%
2019年1月25日,1.3201,1.3065,1.3218,1.3055,1.05%
2019年1月24日,1.3064,1.3068,1.3096,1.3011,-0.02%
2019年1月23日,1.3067,1.2959,1.3082,1.2943,0.85%
2019年1月22日,1.2957,1.289,1.2976,1.2855,0.52%
2019年1月21日,1.289,1.2883,1.2912,1.283,0.13%
2019年1月18日,1.2873,1.2986,1.2995,1.2856,-0.85%
2019年1月17日,1.2984,1.2886,1.3002,1.2832,0.80%
2019年1月16日,1.2881,1.286,1.2898,1.2824,0.18%
2019年1月15日,1.2858,1.2862,1.2917,1.267,-0.04%
2019年1月14日,1.2863,1.2848,1.2931,1.2817,0.17%
2019年1月11日,1.2841,1.2758,1.2867,1.2709,0.74%
2019年1月10日,1.2747,1.2789,1.2802,1.2728,-0.32%
2019年1月9日,1.2788,1.2717,1.2806,1.2711,0.56%
2019年1月8日,1.2717,1.278,1.2798,1.2706,-0.48%
2019年1月7日,1.2778,1.273,1.2788,1.2717,0.41%
2019年1月4日,1.2726,1.2629,1.2745,1.2615,0.75%
2019年1月3日,1.2631,1.2605,1.2649,1.2438,0.19%
2019年1月2日,1.2607,1.2742,1.2776,1.2581,-1.13%
2019年1月1日,1.2751,1.2761,1.2765,1.2725,-0.05%
2018年12月31日,1.2757,1.2682,1.2816,1.268,0.41%
2018年12月28日,1.2705,1.2644,1.2711,1.2634,0.50%
2018年12月27日,1.2642,1.2632,1.2676,1.2615,0.08%
2018年12月26日,1.2632,1.2674,1.2721,1.263,-0.41%
2018年12月25日,1.2684,1.2724,1.2728,1.2665,-0.30%
2018年12月24日,1.2722,1.2652,1.2744,1.2629,0.73%
2018年12月21日,1.263,1.2658,1.2699,1.2617,-0.20%
2018年12月20日,1.2655,1.261,1.2708,1.2608,0.38%
2018年12月19日,1.2607,1.264,1.268,1.2607,-0.29%
2018年12月18日,1.2644,1.2624,1.2707,1.2609,0.15%
2018年12月17日,1.2625,1.2591,1.2648,1.2569,0.33%
2018年12月14日,1.2583,1.2656,1.2676,1.2529,-0.57%
2018年12月13日,1.2655,1.2635,1.2687,1.2609,0.21%
2018年12月12日,1.2629,1.2488,1.2673,1.2477,1.16%
2018年12月11日,1.2484,1.2564,1.2639,1.2479,-0.60%
2018年12月10日,1.2559,1.2729,1.276,1.2507,-1.31%
2018年12月7日,1.2726,1.2785,1.2813,1.271,-0.44%
2018年12月6日,1.2782,1.2733,1.2813,1.2699,0.40%
2018年12月5日,1.2731,1.2724,1.2799,1.2671,0.10%
2018年12月4日,1.2718,1.2724,1.2841,1.2659,-0.03%
2018年12月3日,1.2722,1.2768,1.2826,1.2699,-0.23%
2018年11月30日,1.2751,1.2792,1.281,1.2735,-0.32%
2018年11月29日,1.2792,1.2824,1.2852,1.2754,-0.25%
2018年11月28日,1.2824,1.2746,1.2849,1.2731,0.60%
2018年11月27日,1.2747,1.2835,1.2836,1.2724,-0.67%
2018年11月26日,1.2833,1.2853,1.2865,1.2795,0.16%
2018年11月23日,1.2812,1.2879,1.2884,1.2799,-0.50%
2018年11月22日,1.2876,1.2776,1.2929,1.2768,0.79%
2018年11月21日,1.2775,1.2788,1.2821,1.2763,-0.09%
2018年11月20日,1.2786,1.2852,1.2884,1.2775,-0.49%
2018年11月19日,1.2849,1.2829,1.2885,1.2795,0.09%
2018年11月16日,1.2837,1.2773,1.2879,1.2759,0.49%
2018年11月15日,1.2774,1.2991,1.3031,1.2724,-1.69%
2018年11月14日,1.2994,1.2979,1.3073,1.2885,0.18%
2018年11月13日,1.2971,1.2849,1.3048,1.284,0.97%
2018年11月12日,1.2847,1.296,1.2967,1.2826,-0.98%
2018年11月9日,1.2974,1.3062,1.3082,1.2958,-0.67%
2018年11月8日,1.3061,1.3127,1.3151,1.3045,-0.48%
2018年11月7日,1.3124,1.3102,1.3176,1.3073,0.21%
2018年11月6日,1.3097,1.3041,1.3109,1.302,0.44%
2018年11月5日,1.304,1.3025,1.3064,1.2965,0.54%
2018年11月2日,1.297,1.3011,1.3042,1.295,-0.30%
2018年11月1日,1.3009,1.2769,1.3037,1.276,1.91%
2018年10月31日,1.2765,1.2707,1.2832,1.2698,0.48%
2018年10月30日,1.2704,1.2793,1.2814,1.2695,-0.68%
2018年10月29日,1.2791,1.2828,1.2854,1.2791,-0.31%
2018年10月26日,1.2831,1.2817,1.2843,1.2776,0.12%
2018年10月25日,1.2815,1.2883,1.2921,1.2797,-0.50%
2018年10月24日,1.288,1.2983,1.2995,1.2866,-0.79%
2018年10月23日,1.2982,1.2966,1.3045,1.2937,0.16%
2018年10月22日,1.2961,1.3068,1.3092,1.2955,-0.83%
2018年10月19日,1.307,1.3018,1.3105,1.301,0.40%
2018年10月18日,1.3018,1.3113,1.3132,1.3015,-0.74%
2018年10月17日,1.3115,1.3183,1.3194,1.31,-0.55%
2018年10月16日,1.3187,1.3153,1.3237,1.3141,0.26%
2018年10月15日,1.3153,1.314,1.3183,1.3079,-0.02%
2018年10月12日,1.3155,1.3225,1.3259,1.3149,-0.61%
2018年10月11日,1.3236,1.3196,1.3249,1.3182,0.30%
2018年10月10日,1.3196,1.3143,1.3217,1.3134,0.40%
2018年10月9日,1.3144,1.3091,1.3152,1.3032,0.41%
2018年10月8日,1.309,1.3108,1.3136,1.3028,-0.25%
2018年10月5日,1.3123,1.3019,1.3126,1.3002,0.79%
2018年10月4日,1.302,1.2941,1.3042,1.2921,0.62%
2018年10月3日,1.294,1.2979,1.3024,1.2924,-0.30%
2018年10月2日,1.2979,1.3044,1.3057,1.294,-0.49%
2018年10月1日,1.3043,1.3031,1.3112,1.3011,0.09%
2018年9月28日,1.3031,1.3081,1.3093,1.3,-0.39%
2018年9月27日,1.3082,1.3168,1.3188,1.3075,-0.67%
2018年9月26日,1.317,1.3185,1.3219,1.3138,-0.10%
2018年9月25日,1.3183,1.3121,1.3195,1.3094,0.47%
2018年9月24日,1.3121,1.3069,1.3169,1.3055,0.34%
2018年9月21日,1.3077,1.3268,1.3278,1.3054,-1.43%
2018年9月20日,1.3267,1.3144,1.3299,1.3135,0.94%
2018年9月19日,1.3144,1.315,1.3216,1.3095,-0.04%
2018年9月18日,1.3149,1.3158,1.3174,1.3118,-0.07%
2018年9月17日,1.3158,1.3069,1.3168,1.3069,0.69%
2018年9月14日,1.3068,1.3107,1.3143,1.3055,-0.30%
2018年9月13日,1.3107,1.3047,1.3123,1.3026,0.45%
2018年9月12日,1.3048,1.3033,1.3081,1.298,0.10%
2018年9月11日,1.3035,1.3027,1.3089,1.297,0.06%
2018年9月10日,1.3027,1.2935,1.3053,1.2896,0.80%
2018年9月7日,1.2924,1.2933,1.3031,1.291,-0.06%
2018年9月6日,1.2932,1.2905,1.2963,1.2895,0.22%
2018年9月5日,1.2904,1.2854,1.2984,1.2785,0.37%
2018年9月4日,1.2856,1.2867,1.2884,1.2811,-0.12%
2018年9月3日,1.2872,1.2971,1.2971,1.2854,-0.70%
2018年8月31日,1.2963,1.3014,1.3031,1.2947,-0.36%
2018年8月30日,1.301,1.3027,1.3045,1.2985,-0.13%
2018年8月29日,1.3027,1.2876,1.3034,1.2846,1.16%
2018年8月28日,1.2877,1.2893,1.2933,1.2861,-0.12%
2018年8月27日,1.2893,1.284,1.2903,1.2829,0.37%
2018年8月24日,1.2845,1.2815,1.2883,1.2799,0.26%
2018年8月23日,1.2812,1.2912,1.292,1.2804,-0.77%
2018年8月22日,1.2911,1.2905,1.2938,1.2868,0.08%
2018年8月21日,1.2901,1.2796,1.2928,1.2793,0.80%
2018年8月20日,1.2798,1.274,1.2801,1.273,0.36%
2018年8月17日,1.2752,1.2716,1.2755,1.2698,0.26%
2018年8月16日,1.2719,1.2696,1.2756,1.2687,0.17%
2018年8月15日,1.2698,1.2727,1.2742,1.2662,-0.21%
2018年8月14日,1.2725,1.2771,1.2827,1.2704,-0.34%
2018年8月13日,1.2768,1.2768,1.2793,1.2729,-0.01%
2018年8月10日,1.2769,1.2824,1.2838,1.2723,-0.43%
2018年8月9日,1.2824,1.2881,1.2913,1.282,-0.44%
2018年8月8日,1.2881,1.2938,1.2963,1.2853,-0.45%
2018年8月7日,1.2939,1.2943,1.2975,1.2925,-0.03%
2018年8月6日,1.2943,1.3012,1.3019,1.2919,-0.50%
2018年8月3日,1.3008,1.3019,1.3045,1.2975,-0.08%
2018年8月2日,1.3018,1.3124,1.3131,1.3014,-0.82%
2018年8月1日,1.3126,1.3127,1.3146,1.3095,-0.01%
2018年7月31日,1.3127,1.3134,1.3175,1.3091,-0.05%
2018年7月30日,1.3133,1.3095,1.3154,1.3093,0.22%
2018年7月27日,1.3104,1.3109,1.3133,1.3081,-0.04%
2018年7月26日,1.3109,1.3191,1.3215,1.3105,-0.61%
2018年7月25日,1.3189,1.3144,1.3202,1.3132,0.33%
2018年7月24日,1.3145,1.3101,1.3161,1.3071,0.33%
2018年7月23日,1.3102,1.3122,1.3159,1.3081,-0.24%
2018年7月20日,1.3134,1.3014,1.3141,1.2994,0.92%
2018年7月19日,1.3014,1.3069,1.3085,1.2957,-0.42%
2018年7月18日,1.3069,1.3114,1.3124,1.3009,-0.35%
2018年7月17日,1.3115,1.3236,1.3271,1.3072,-0.91%
2018年7月16日,1.3236,1.323,1.3295,1.3216,0.01%
2018年7月13日,1.3235,1.3207,1.3241,1.3103,0.22%
2018年7月12日,1.3206,1.3205,1.3246,1.318,0.01%
2018年7月11日,1.3205,1.3278,1.3288,1.3199,-0.53%
2018年7月10日,1.3276,1.326,1.3302,1.3224,0.13%
2018年7月9日,1.3259,1.3304,1.3364,1.319,-0.20%
2018年7月6日,1.3285,1.3228,1.3293,1.3203,0.44%
2018年7月5日,1.3227,1.323,1.3276,1.3203,-0.05%
2018年7月4日,1.3233,1.3196,1.3252,1.3171,0.30%
2018年7月3日,1.3193,1.3143,1.3208,1.3115,0.38%
2018年7月2日,1.3143,1.3182,1.3211,1.3094,-0.50%
2018年6月29日,1.3209,1.3077,1.3215,1.3068,1.00%
2018年6月28日,1.3078,1.3114,1.3123,1.305,-0.27%
2018年6月27日,1.3113,1.3229,1.3245,1.3107,-0.87%
2018年6月26日,1.3228,1.3284,1.3294,1.3192,-0.37%
2018年6月25日,1.3277,1.3276,1.3292,1.3222,0.05%
2018年6月22日,1.327,1.3252,1.3316,1.3236,0.14%
2018年6月21日,1.3252,1.3176,1.3271,1.3101,0.60%
2018年6月20日,1.3173,1.3174,1.3217,1.3148,-0.05%
2018年6月19日,1.318,1.3244,1.3275,1.315,-0.48%
2018年6月18日,1.3244,1.3262,1.3287,1.3225,-0.31%
2018年6月15日,1.3285,1.3262,1.3299,1.3212,0.17%
2018年6月14日,1.3262,1.3375,1.3447,1.3256,-0.85%
2018年6月13日,1.3376,1.3373,1.3392,1.3308,0.03%
2018年6月12日,1.3372,1.3382,1.3426,1.3342,-0.02%
2018年6月11日,1.3375,1.3404,1.3443,1.3345,-0.28%
2018年6月8日,1.3412,1.3421,1.3439,1.3354,-0.07%
2018年6月7日,1.3422,1.3413,1.3474,1.3374,0.07%
2018年6月6日,1.3413,1.3396,1.3445,1.3383,0.12%
2018年6月5日,1.3397,1.3314,1.3412,1.3302,0.63%
2018年6月4日,1.3313,1.3337,1.34,1.3294,-0.26%
2018年6月1日,1.3348,1.3299,1.3363,1.3252,0.36%
2018年5月31日,1.33,1.329,1.335,1.3277,0.06%
2018年5月30日,1.3292,1.3251,1.331,1.3242,0.29%
2018年5月29日,1.3254,1.3312,1.3328,1.3205,-0.45%
2018年5月28日,1.3314,1.3308,1.3342,1.3296,0.04%
2018年5月25日,1.3309,1.338,1.3393,1.3294,-0.54%
2018年5月24日,1.3381,1.3346,1.3423,1.3339,0.24%
2018年5月23日,1.3349,1.3437,1.3444,1.3305,-0.65%
2018年5月22日,1.3436,1.3431,1.3493,1.3412,0.04%
2018年5月21日,1.3431,1.3473,1.3485,1.3392,-0.32%
2018年5月18日,1.3474,1.3518,1.3531,1.3455,-0.32%
2018年5月17日,1.3517,1.3489,1.3571,1.3473,0.22%
2018年5月16日,1.3488,1.3506,1.3523,1.3456,-0.13%
2018年5月15日,1.3506,1.3558,1.3575,1.3452,-0.37%
2018年5月14日,1.3556,1.3547,1.361,1.3538,0.10%
2018年5月11日,1.3543,1.352,1.3598,1.3502,0.19%
2018年5月10日,1.3517,1.3544,1.3618,1.3458,-0.21%
2018年5月9日,1.3546,1.3546,1.3608,1.3498,0.00%
2018年5月8日,1.3546,1.3557,1.3593,1.3484,-0.08%
2018年5月7日,1.3557,1.3536,1.3577,1.3515,0.18%
2018年5月4日,1.3533,1.3577,1.3588,1.3487,-0.32%
2018年5月3日,1.3576,1.358,1.3631,1.3537,-0.01%
2018年5月2日,1.3578,1.3614,1.3668,1.3554,-0.26%
2018年5月1日,1.3614,1.3762,1.3776,1.3589,-1.15%
2018年4月30日,1.3772,1.3787,1.3795,1.3714,-0.06%
2018年4月27日,1.378,1.392,1.3937,1.3747,-0.98%
2018年4月26日,1.3916,1.3933,1.3999,1.3895,-0.11%
2018年4月25日,1.3931,1.3979,1.3998,1.3923,-0.33%
2018年4月24日,1.3977,1.394,1.3989,1.3918,0.26%
2018年4月23日,1.3941,1.402,1.4033,1.3926,-0.45%
2018年4月20日,1.4004,1.4086,1.4092,1.3994,-0.62%
2018年4月19日,1.4091,1.4202,1.4246,1.4068,-0.79%
2018年4月18日,1.4203,1.4288,1.4316,1.4173,-0.59%
2018年4月17日,1.4288,1.4336,1.4378,1.4282,-0.35%
2018年4月16日,1.4338,1.4254,1.4347,1.4227,0.68%
2018年4月13日,1.4241,1.4226,1.4298,1.422,0.10%
2018年4月12日,1.4227,1.4178,1.4248,1.4145,0.34%
2018年4月11日,1.4179,1.4177,1.4224,1.4161,0.03%
2018年4月10日,1.4175,1.4131,1.4191,1.4121,0.31%
2018年4月9日,1.4131,1.4098,1.4166,1.4077,0.28%
2018年4月6日,1.4092,1.4003,1.4106,1.3982,0.64%
2018年4月5日,1.4003,1.4079,1.41,1.3965,-0.56%
2018年4月4日,1.4082,1.4059,1.4098,1.4014,0.16%
2018年4月3日,1.4059,1.4045,1.4091,1.4021,0.10%
2018年4月2日,1.4045,1.4026,1.408,1.402,0.19%
2018年3月30日,1.4018,1.4018,1.4062,1.4009,0.01%
2018年3月29日,1.4017,1.4077,1.4098,1.401,-0.43%
2018年3月28日,1.4078,1.4154,1.4202,1.4069,-0.56%
2018年3月27日,1.4157,1.4231,1.4246,1.4067,-0.50%
2018年3月26日,1.4228,1.4142,1.4246,1.4132,0.67%
2018年3月23日,1.4134,1.4096,1.4172,1.4084,0.27%
2018年3月22日,1.4096,1.4141,1.4218,1.4076,-0.33%
2018年3月21日,1.4142,1.3998,1.4152,1.3997,1.03%
2018年3月20日,1.3998,1.4024,1.4067,1.3981,-0.19%
2018年3月19日,1.4024,1.3931,1.4088,1.3911,0.60%
2018年3月16日,1.3941,1.3936,1.3981,1.3886,0.02%
2018年3月15日,1.3938,1.3962,1.3989,1.3921,-0.16%
2018年3月14日,1.3961,1.3961,1.3998,1.3926,-0.01%
2018年3月13日,1.3962,1.3906,1.3997,1.3876,0.41%
2018年3月12日,1.3905,1.3852,1.3918,1.3839,0.40%
2018年3月9日,1.3849,1.3811,1.389,1.3788,0.27%
2018年3月8日,1.3812,1.39,1.3911,1.3782,-0.64%
2018年3月7日,1.3901,1.3887,1.3915,1.3846,0.10%
2018年3月6日,1.3887,1.385,1.3932,1.3817,0.27%
2018年3月5日,1.3849,1.3797,1.3877,1.3766,0.32%
2018年3月2日,1.3805,1.3777,1.3819,1.3757,0.21%
2018年3月1日,1.3776,1.3762,1.3786,1.3712,0.12%
2018年2月28日,1.376,1.3907,1.3916,1.3756,-1.07%
2018年2月27日,1.3909,1.3967,1.3999,1.3858,-0.42%
2018年2月26日,1.3967,1.3974,1.4071,1.3928,0.00%
2018年2月23日,1.3967,1.3962,1.4007,1.3905,0.08%
2018年2月22日,1.3956,1.3919,1.3988,1.3857,0.27%
2018年2月21日,1.3918,1.3996,1.4009,1.3905,-0.56%
2018年2月20日,1.3996,1.4005,1.4026,1.3931,-0.06%
2018年2月19日,1.4005,1.4034,1.4051,1.3958,-0.26%
2018年2月16日,1.4042,1.41,1.4146,1.3998,-0.40%
2018年2月15日,1.4099,1.4002,1.4105,1.399,0.72%
2018年2月14日,1.3998,1.3894,1.4018,1.3799,0.76%
2018年2月13日,1.3892,1.3837,1.3925,1.3832,0.39%
2018年2月12日,1.3838,1.3827,1.3878,1.3797,0.00%
2018年2月9日,1.3838,1.3914,1.3989,1.3765,-0.55%
2018年2月8日,1.3914,1.3879,1.4067,1.3846,0.23%
2018年2月7日,1.3882,1.3949,1.3994,1.3848,-0.47%
2018年2月6日,1.3948,1.396,1.4001,1.3836,-0.08%
2018年2月5日,1.3959,1.413,1.4151,1.3955,-1.16%
2018年2月2日,1.4123,1.4264,1.428,1.4102,-1.00%
2018年2月1日,1.4265,1.4191,1.4278,1.4158,0.51%
2018年1月31日,1.4192,1.4148,1.4234,1.4121,0.33%
2018年1月30日,1.4146,1.4074,1.4166,1.3979,0.50%
2018年1月29日,1.4075,1.4163,1.4163,1.4026,-0.67%
2018年1月26日,1.417,1.4147,1.4287,1.4109,0.17%
2018年1月25日,1.4146,1.4244,1.4345,1.4083,-0.68%
2018年1月24日,1.4243,1.3999,1.4263,1.3997,1.73%
2018年1月23日,1.4001,1.3989,1.4028,1.3916,0.10%
2018年1月22日,1.3987,1.3881,1.3993,1.3858,0.97%
2018年1月19日,1.3852,1.3897,1.3947,1.384,-0.30%
2018年1月18日,1.3893,1.3831,1.3914,1.3805,0.48%
2018年1月17日,1.3827,1.3791,1.3944,1.3757,0.25%
2018年1月16日,1.3793,1.3791,1.3806,1.374,0.01%
2018年1月15日,1.3792,1.3731,1.3822,1.3723,0.46%
2018年1月12日,1.3729,1.3538,1.3743,1.3535,1.41%
2018年1月11日,1.3538,1.3506,1.3556,1.3457,0.23%
2018年1月10日,1.3507,1.3541,1.3564,1.3482,-0.24%
2018年1月9日,1.354,1.357,1.3583,1.3506,-0.21%
2018年1月8日,1.3568,1.3572,1.3587,1.3523,-0.02%
2018年1月5日,1.3571,1.3552,1.3583,1.3523,0.13%
2018年1月4日,1.3553,1.3515,1.3562,1.3505,0.27%
2018年1月3日,1.3516,1.3588,1.3614,1.3497,-0.53%
2018年1月2日,1.3588,1.3507,1.3602,1.35,0.63%
2018年1月1日,1.3503,1.3515,1.3522,1.3494,-0.09%
2017年12月29日,1.3515,1.3444,1.3545,1.3428,0.54%
2017年12月28日,1.3443,1.3397,1.3458,1.3392,0.34%
2017年12月27日,1.3397,1.3375,1.3431,1.3368,0.17%
2017年12月26日,1.3374,1.3371,1.3391,1.3347,0.04%
2017年12月25日,1.3369,1.3357,1.3396,1.3355,0.05%
2017年12月22日,1.3362,1.3386,1.3399,1.3349,-0.17%
2017年12月21日,1.3385,1.3376,1.3389,1.3331,0.07%
2017年12月20日,1.3376,1.3386,1.3422,1.3372,-0.07%
2017年12月19日,1.3385,1.3382,1.3403,1.3332,0.02%
2017年12月18日,1.3382,1.3328,1.342,1.331,0.46%
2017年12月15日,1.3321,1.3431,1.345,1.3302,-0.83%
2017年12月14日,1.3432,1.3418,1.3463,1.339,0.09%
2017年12月13日,1.342,1.3317,1.3422,1.3311,0.77%
2017年12月12日,1.3317,1.3339,1.3381,1.3304,-0.16%
2017年12月11日,1.3339,1.3392,1.3432,1.3331,-0.40%
2017年12月8日,1.3392,1.3477,1.3521,1.3355,-0.61%
2017年12月7日,1.3474,1.3391,1.3485,1.3319,0.60%
2017年12月6日,1.3394,1.3442,1.3449,1.3357,-0.36%
2017年12月5日,1.3443,1.3479,1.3483,1.337,-0.27%
2017年12月4日,1.3479,1.3479,1.3539,1.3417,0.04%
2017年12月1日,1.3473,1.3525,1.3552,1.3445,-0.39%
2017年11月30日,1.3526,1.341,1.355,1.3405,0.87%
2017年11月29日,1.3409,1.334,1.345,1.3339,0.53%
2017年11月28日,1.3338,1.3312,1.3388,1.3221,0.15%
2017年11月27日,1.3318,1.3337,1.3384,1.331,-0.14%
2017年11月24日,1.3337,1.3309,1.3361,1.3279,0.20%
2017年11月23日,1.331,1.3325,1.3338,1.3284,-0.12%
2017年11月22日,1.3326,1.3239,1.3332,1.3214,0.66%
2017年11月21日,1.3239,1.3236,1.327,1.3211,0.03%
2017年11月20日,1.3235,1.3217,1.328,1.3184,0.16%
2017年11月17日,1.3214,1.3196,1.3261,1.317,0.14%
2017年11月16日,1.3195,1.3171,1.3209,1.3135,0.18%
2017年11月15日,1.3171,1.3167,1.3216,1.3131,0.05%
2017年11月14日,1.3165,1.3116,1.3188,1.3075,0.37%
2017年11月13日,1.3116,1.3183,1.3198,1.3062,-0.57%
2017年11月10日,1.3191,1.3148,1.3232,1.3113,0.30%
2017年11月9日,1.3151,1.3115,1.3167,1.3086,0.27%
2017年11月8日,1.3116,1.3167,1.3178,1.3087,-0.39%
2017年11月7日,1.3167,1.317,1.3179,1.3109,-0.04%
2017年11月6日,1.3172,1.3085,1.3177,1.3058,0.73%
2017年11月3日,1.3076,1.3059,1.3132,1.3039,0.13%
2017年11月2日,1.3059,1.3245,1.33,1.3043,-1.41%
2017年11月1日,1.3246,1.3282,1.3321,1.324,-0.28%
2017年10月31日,1.3283,1.3207,1.3289,1.319,0.57%
2017年10月30日,1.3208,1.3112,1.3216,1.3105,0.60%
2017年10月27日,1.3129,1.3161,1.3164,1.307,-0.24%
2017年10月26日,1.316,1.3264,1.3281,1.3147,-0.78%
2017年10月25日,1.3264,1.3132,1.3272,1.311,0.97%
2017年10月24日,1.3136,1.3199,1.3229,1.3112,-0.46%
2017年10月23日,1.3197,1.3187,1.3228,1.3156,0.05%
2017年10月20日,1.319,1.3159,1.3202,1.3087,0.24%
2017年10月19日,1.3159,1.3206,1.323,1.3132,-0.35%
2017年10月18日,1.3205,1.3191,1.3212,1.314,0.11%
2017年10月17日,1.3191,1.325,1.3289,1.3154,-0.45%
2017年10月16日,1.325,1.3309,1.3313,1.3225,-0.28%
2017年10月13日,1.3287,1.3262,1.3338,1.3249,0.19%
2017年10月12日,1.3262,1.3224,1.3292,1.3121,0.29%
2017年10月11日,1.3223,1.3205,1.3236,1.3175,0.14%
2017年10月10日,1.3204,1.3141,1.3227,1.3131,0.47%
2017年10月9日,1.3142,1.3069,1.3185,1.3056,0.58%
2017年10月6日,1.3066,1.3119,1.3127,1.3027,-0.40%
2017年10月5日,1.3119,1.3247,1.3251,1.3107,-0.95%
2017年10月4日,1.3245,1.3236,1.3293,1.3235,0.07%