closing_price,open_price,high_price,low_price
1.38,1.3801,1.3843,1.3754
1.3785,1.3801,1.3807,1.3741
1.3899,1.3788,1.3909,1.3756
1.388,1.3902,1.3911,1.3838
1.3808,1.3885,1.3907,1.38
1.3856,1.3814,1.3893,1.3801
1.3828,1.3858,1.39,1.3805
1.3772,1.383,1.3863,1.3759
1.3672,1.3787,1.3787,1.3655
1.3626,1.3678,1.369,1.3571
1.371,1.3629,1.3724,1.3591
1.3763,1.3714,1.3787,1.369
1.3745,1.3767,1.3781,1.372
1.3816,1.3754,1.3835,1.3736
1.3874,1.3818,1.3895,1.3766
1.3898,1.3881,1.3911,1.3844
1.3961,1.39,1.3983,1.3895
1.3901,1.3961,1.3985,1.3887
1.3881,1.3901,1.3934,1.3875
1.3914,1.3883,1.3939,1.3879
1.3885,1.3916,1.3958,1.3885
1.3928,1.3889,1.395,1.3872
1.3871,1.393,1.3937,1.386
1.3844,1.388,1.3895,1.3841
1.3843,1.3846,1.3873,1.3827
1.3872,1.3845,1.3888,1.3802
1.3804,1.3873,1.3879,1.3794
1.3863,1.3809,1.3876,1.3791
1.385,1.3839,1.3879,1.3828
1.3739,1.385,1.3855,1.3726
1.3755,1.3741,1.3786,1.3727
1.3638,1.3757,1.376,1.3632
1.3621,1.3642,1.3649,1.3601
1.3717,1.3633,1.3734,1.3613
1.3727,1.3717,1.3749,1.3693
1.3759,1.3729,1.3767,1.3697
1.3699,1.3761,1.377,1.3688
1.3757,1.3698,1.3781,1.3679
1.3758,1.3758,1.3776,1.3734
1.3754,1.3761,1.3807,1.3742
1.3768,1.3753,1.38,1.373
1.3829,1.3776,1.3841,1.3767
1.3865,1.3833,1.3893,1.3817
1.3834,1.3863,1.3871,1.3819
1.3782,1.3836,1.3858,1.3767
1.3768,1.3788,1.3792,1.3726
1.3835,1.377,1.3864,1.3753
1.3839,1.3838,1.3889,1.3826
1.3836,1.3843,1.3852,1.3796
1.3806,1.3835,1.3914,1.3802
1.3837,1.3811,1.3855,1.3792
1.3788,1.3837,1.3853,1.3764
1.3742,1.3792,1.3814,1.3727
1.3657,1.3746,1.3755,1.364
1.3659,1.3657,1.3693,1.3641
1.3625,1.3658,1.3691,1.3609
1.3716,1.3628,1.3751,1.3612
1.3682,1.3721,1.3737,1.3657
1.3695,1.368,1.3729,1.3657
1.3534,1.3699,1.3719,1.352
1.3422,1.3535,1.3556,1.3412
1.3472,1.3424,1.3519,1.3415
1.3545,1.3472,1.3577,1.3434
1.3613,1.3548,1.3641,1.3532
1.3629,1.3615,1.3649,1.3584
1.358,1.3632,1.3637,1.3543
1.3617,1.3578,1.364,1.357
1.3611,1.3618,1.3657,1.3583
1.3595,1.3613,1.3675,1.3584
1.3585,1.3599,1.3638,1.3569
1.3659,1.3588,1.3665,1.3576
1.3673,1.3657,1.3736,1.3654
1.3749,1.3673,1.3774,1.3667
1.3725,1.3751,1.3766,1.3708
1.3795,1.3728,1.3835,1.3722
1.3824,1.3797,1.3836,1.3742
1.3791,1.3824,1.3835,1.3776
1.3751,1.3792,1.3816,1.3736
1.3768,1.3755,1.3793,1.3741
1.3766,1.3769,1.383,1.3757
1.3746,1.3769,1.3782,1.3708
1.3788,1.3749,1.3816,1.3721
1.3691,1.3791,1.3805,1.3668
1.3672,1.3683,1.3694,1.3642
1.3614,1.3665,1.368,1.3605
1.3663,1.3616,1.3666,1.3607